nombre,tipo_evento,mes_celebracion,dia_inicio,dia_fin,descripcion,recomendaciones_viaje,municipio_pcode
Feria Titular de El Tejar,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de El Tejar, departamento de Chimaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0416
Feria Patronal de Santa Lucía Cotzumalguapa (En honor a Santa Lucía),Feria Patronal,12,10,13,"Feria patronal del municipio de Santa Lucía Cotzumalguapa, celebrada en honor a su santo patrono Santa Lucía. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Escuintla.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0502
Feria Titular de La Democracia,Feria Patronal,2,14,17,"Feria titular y celebración anual del municipio de La Democracia, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0503
Feria Titular de Siquinalá,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Siquinalá, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0504
Feria Titular de Masagua,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Masagua, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0505
Feria Titular de Tiquisate,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Tiquisate, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0506
Feria Titular de La Gomera,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de La Gomera, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0507
Feria Titular de Guanagazapa,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Guanagazapa, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0508
Feria Patronal de San José (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Escuintla.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0509
Feria Titular de Iztapa,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Iztapa, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0510
Feria Patronal de San Vicente Pacaya (En honor a San Vicente Ferrer),Feria Patronal,4,2,5,"Feria patronal del municipio de San Vicente Pacaya, celebrada en honor a su santo patrono San Vicente Ferrer. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Escuintla.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0512
Feria Patronal de Nueva Concepción (En honor a Virgen de la Inmaculada Concepción),Feria Patronal,12,5,8,"Feria patronal del municipio de Nueva Concepción, celebrada en honor a su santo patrono Virgen de la Inmaculada Concepción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Escuintla.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0513
Feria Titular de Sipacate,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Sipacate, departamento de Escuintla. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0514
Feria Titular de Cuilapa,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Cuilapa, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0601
Feria Titular de Barberena,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Barberena, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0602
Feria Titular de Santa Rosa de Lima,Feria Patronal,7,19,22,"Feria titular y celebración anual del municipio de Santa Rosa de Lima, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0603
Feria Titular de Casillas,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Casillas, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0604
Feria Patronal de San Rafael Las Flores (En honor a San Rafael Arcángel),Feria Patronal,10,21,24,"Feria patronal del municipio de San Rafael Las Flores, celebrada en honor a su santo patrono San Rafael Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Santa Rosa.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0605
Feria Titular de Oratorio,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Oratorio, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0606
Feria Patronal de San Juan Tecuaco (En honor a San Juan Bautista),Feria Patronal,6,21,24,"Feria patronal del municipio de San Juan Tecuaco, celebrada en honor a su santo patrono San Juan Bautista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Santa Rosa.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0607
Feria Titular de Taxisco,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Taxisco, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0609
Feria Patronal de Santa María Ixhuatán (En honor a Virgen de la Asunción),Feria Patronal,8,12,15,"Feria patronal del municipio de Santa María Ixhuatán, celebrada en honor a su santo patrono Virgen de la Asunción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Santa Rosa.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0610
Feria Titular de Guazacapán,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Guazacapán, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0611
Feria Patronal de Santa Cruz Naranjo (En honor a La Santa Cruz),Feria Patronal,5,1,3,"Feria patronal del municipio de Santa Cruz Naranjo, celebrada en honor a su santo patrono La Santa Cruz. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Santa Rosa.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0612
Feria Titular de Pueblo Nuevo Viñas,Feria Patronal,7,19,22,"Feria titular y celebración anual del municipio de Pueblo Nuevo Viñas, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0613
Feria Titular de Nueva Santa Rosa,Feria Patronal,5,17,20,"Feria titular y celebración anual del municipio de Nueva Santa Rosa, departamento de Santa Rosa. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0614
Feria Titular de Lago De Atitlan,Feria Patronal,4,16,19,"Feria titular y celebración anual del municipio de Lago De Atitlan, departamento de Sololá. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0700
Feria Patronal de San José Chacayá (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José Chacayá, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0702
Feria Patronal de Santa María Visitación (En honor a Virgen de la Asunción),Feria Patronal,8,12,15,"Feria patronal del municipio de Santa María Visitación, celebrada en honor a su santo patrono Virgen de la Asunción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0703
Feria Patronal de Santa Lucía Utatlán (En honor a Santa Lucía),Feria Patronal,12,10,13,"Feria patronal del municipio de Santa Lucía Utatlán, celebrada en honor a su santo patrono Santa Lucía. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0704
Feria Titular de Nahualá,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Nahualá, departamento de Sololá. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0705
Feria Patronal de Santa Catarina Ixtahuacán (En honor a Santa Catarina de Alejandría),Feria Patronal,11,22,25,"Feria patronal del municipio de Santa Catarina Ixtahuacán, celebrada en honor a su santo patrono Santa Catarina de Alejandría. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0706
Feria Patronal de Santa Clara La Laguna (En honor a Santa Clara de Asís),Feria Patronal,8,9,12,"Feria patronal del municipio de Santa Clara La Laguna, celebrada en honor a su santo patrono Santa Clara de Asís. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0707
Feria Patronal de Concepción (En honor a Virgen de la Inmaculada Concepción),Feria Patronal,12,5,8,"Feria patronal del municipio de Concepción, celebrada en honor a su santo patrono Virgen de la Inmaculada Concepción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0708
Feria Patronal de San Andrés Semetabaj (En honor a San Andrés Apóstol),Feria Patronal,11,27,30,"Feria patronal del municipio de San Andrés Semetabaj, celebrada en honor a su santo patrono San Andrés Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0709
Feria Titular de Panajachel,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Panajachel, departamento de Sololá. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0710
Feria Patronal de Santa Catarina Palopó (En honor a Santa Catarina de Alejandría),Feria Patronal,11,22,25,"Feria patronal del municipio de Santa Catarina Palopó, celebrada en honor a su santo patrono Santa Catarina de Alejandría. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0711
Feria Patronal de San Antonio Palopó (En honor a San Antonio de Padua),Feria Patronal,6,10,13,"Feria patronal del municipio de San Antonio Palopó, celebrada en honor a su santo patrono San Antonio de Padua. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0712
Feria Patronal de San Lucas Tolimán (En honor a San Lucas Evangelista),Feria Patronal,10,15,18,"Feria patronal del municipio de San Lucas Tolimán, celebrada en honor a su santo patrono San Lucas Evangelista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0713
Feria Patronal de Santa Cruz La Laguna (En honor a La Santa Cruz),Feria Patronal,5,1,3,"Feria patronal del municipio de Santa Cruz La Laguna, celebrada en honor a su santo patrono La Santa Cruz. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0714
Feria Titular de San Pablo La Laguna,Feria Patronal,8,20,23,"Feria titular y celebración anual del municipio de San Pablo La Laguna, departamento de Sololá. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0715
Feria Patronal de San Marcos La Laguna (En honor a San Marcos Evangelista),Feria Patronal,4,22,25,"Feria patronal del municipio de San Marcos La Laguna, celebrada en honor a su santo patrono San Marcos Evangelista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0716
Feria Patronal de San Juan La Laguna (En honor a San Juan Bautista),Feria Patronal,6,21,24,"Feria patronal del municipio de San Juan La Laguna, celebrada en honor a su santo patrono San Juan Bautista. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0717
Feria Patronal de San Pedro La Laguna (En honor a San Pedro Apóstol),Feria Patronal,6,26,29,"Feria patronal del municipio de San Pedro La Laguna, celebrada en honor a su santo patrono San Pedro Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Sololá.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0718
Feria Patronal de San Francisco El Alto (En honor a San Francisco de Asís),Feria Patronal,10,1,4,"Feria patronal del municipio de San Francisco El Alto, celebrada en honor a su santo patrono San Francisco de Asís. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Totonicapán.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0803
Feria Patronal de San Andrés Xecul (En honor a San Andrés Apóstol),Feria Patronal,11,27,30,"Feria patronal del municipio de San Andrés Xecul, celebrada en honor a su santo patrono San Andrés Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Totonicapán.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0804
Feria Patronal de Santa María Chiquimula (En honor a Virgen de la Asunción),Feria Patronal,8,12,15,"Feria patronal del municipio de Santa María Chiquimula, celebrada en honor a su santo patrono Virgen de la Asunción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Totonicapán.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0806
Feria Patronal de Santa Lucía La Reforma (En honor a Santa Lucía),Feria Patronal,12,10,13,"Feria patronal del municipio de Santa Lucía La Reforma, celebrada en honor a su santo patrono Santa Lucía. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Totonicapán.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0807
Feria Patronal de San Bartolo (En honor a San Bartolomé Apóstol),Feria Patronal,8,21,24,"Feria patronal del municipio de San Bartolo, celebrada en honor a su santo patrono San Bartolomé Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Totonicapán.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0808
Feria Titular de Salcajá,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Salcajá, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0902
Feria Titular de Olintepeque,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Olintepeque, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0903
Feria Patronal de San Carlos Sija (En honor a San Carlos Borromeo),Feria Patronal,11,1,4,"Feria patronal del municipio de San Carlos Sija, celebrada en honor a su santo patrono San Carlos Borromeo. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Quetzaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0904
Feria Titular de Sibilia,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Sibilia, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0905
Feria Titular de Cabricán,Feria Patronal,9,9,12,"Feria titular y celebración anual del municipio de Cabricán, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0906
Feria Titular de Cajolá,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Cajolá, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0907
Feria Patronal de San Miguel Sigüila (En honor a San Miguel Arcángel),Feria Patronal,9,26,29,"Feria patronal del municipio de San Miguel Sigüila, celebrada en honor a su santo patrono San Miguel Arcángel. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Quetzaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0908
Feria Titular de Ostuncalco,Feria Patronal,11,11,14,"Feria titular y celebración anual del municipio de Ostuncalco, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0909
Feria Patronal de San Mateo (En honor a San Mateo Apóstol),Feria Patronal,9,18,21,"Feria patronal del municipio de San Mateo, celebrada en honor a su santo patrono San Mateo Apóstol. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Quetzaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0910
Feria Patronal de Concepción Chiquirichapa (En honor a Virgen de la Inmaculada Concepción),Feria Patronal,12,5,8,"Feria patronal del municipio de Concepción Chiquirichapa, celebrada en honor a su santo patrono Virgen de la Inmaculada Concepción. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Quetzaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0911
Feria Titular de Almolonga,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de Almolonga, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0913
Feria Titular de Cantel,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Cantel, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0914
Feria Titular de Huitán,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Huitán, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0915
Feria Titular de Zunil,Feria Patronal,6,6,9,"Feria titular y celebración anual del municipio de Zunil, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0916
Feria Titular de Colomba,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Colomba, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0917
Feria Patronal de San Francisco La Unión (En honor a San Francisco de Asís),Feria Patronal,10,1,4,"Feria patronal del municipio de San Francisco La Unión, celebrada en honor a su santo patrono San Francisco de Asís. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Quetzaltenango.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT0918
Feria Titular de El Palmar,Feria Patronal,10,10,13,"Feria titular y celebración anual del municipio de El Palmar, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0919
Feria Titular de Génova,Feria Patronal,7,7,10,"Feria titular y celebración anual del municipio de Génova, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0921
Feria Titular de Flores Costa Cuca,Feria Patronal,6,18,21,"Feria titular y celebración anual del municipio de Flores Costa Cuca, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0922
Feria Titular de La Esperanza,Feria Patronal,1,13,16,"Feria titular y celebración anual del municipio de La Esperanza, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0923
Feria Titular de Palestina de Los Altos,Feria Patronal,11,23,26,"Feria titular y celebración anual del municipio de Palestina de Los Altos, departamento de Quetzaltenango. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT0924
Feria Titular de Cuyotenango,Feria Patronal,12,12,15,"Feria titular y celebración anual del municipio de Cuyotenango, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1002
Feria Patronal de San Francisco Zapotitlán (En honor a San Francisco de Asís),Feria Patronal,10,1,4,"Feria patronal del municipio de San Francisco Zapotitlán, celebrada en honor a su santo patrono San Francisco de Asís. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1003
Feria Titular de San Bernardino,Feria Patronal,3,15,18,"Feria titular y celebración anual del municipio de San Bernardino, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1004
Feria Patronal de San José El Ídolo (En honor a San José Patriarca),Feria Patronal,3,16,19,"Feria patronal del municipio de San José El Ídolo, celebrada en honor a su santo patrono San José Patriarca. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1005
Feria Titular de Santo Domingo Suchitepéquez,Feria Patronal,4,3,6,"Feria titular y celebración anual del municipio de Santo Domingo Suchitepéquez, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1006
Feria Patronal de San Lorenzo (En honor a San Lorenzo Mártir),Feria Patronal,8,7,10,"Feria patronal del municipio de San Lorenzo, celebrada en honor a su santo patrono San Lorenzo Mártir. Se caracteriza por coloridas procesiones, desfiles hípicos, danzas folclóricas y venta de platos típicos de Suchitepéquez.",Ideal para presenciar las tradiciones religiosas del municipio. Disfrutar de los bailes de moros y cristianos en el atrio parroquial.,GT1007
Feria Titular de Samayac,Feria Patronal,8,8,11,"Feria titular y celebración anual del municipio de Samayac, departamento de Suchitepéquez. Se organizan eventos culturales, deportivos, coronación de reinas locales y la tradicional quema de fuegos artificiales.","Visitar el parque municipal y degustar las comidas tradicionales de la feria como elotes locos, tostadas y atol local.",GT1008
